<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
251001;070000;288.82;288.87;288.4;288.85;18751
251001;070100;288.73;288.84;288.62;288.77;1736
251001;070200;288.72;288.77;288.48;288.49;565
251001;070300;288.49;288.58;288.41;288.48;1058
251001;070400;288.47;288.48;288.47;288.47;330
251001;070500;288.47;288.7;288.47;288.7;5972
251001;070600;288.7;288.7;288.4;288.56;6407
251001;070700;288.42;288.51;288.4;288.5;1487
251001;070800;288.49;288.55;288.4;288.49;1474
251001;070900;288.47;288.62;288.43;288.48;10544
251001;071000;288.53;288.56;288.34;288.51;11543
251001;071100;288.48;288.48;288.33;288.46;1101
251001;071200;288.46;288.59;288.46;288.59;457
251001;071300;288.5;288.59;288.5;288.58;2688
251001;071400;288.58;288.65;288.58;288.64;3093
251001;071500;288.64;288.72;288.64;288.68;8919
251001;071600;288.72;288.72;288.69;288.72;175
251001;071700;288.72;288.72;288.68;288.7;600
251001;071800;288.7;288.7;288.65;288.69;738
251001;071900;288.67;288.68;288.65;288.66;11418
251001;072000;288.66;288.66;288.65;288.66;10760
251001;072100;288.66;288.66;288.65;288.65;240
251001;072200;288.65;288.66;288.65;288.66;117
251001;072300;288.66;288.66;288.65;288.66;474
251001;072400;288.66;288.66;288.64;288.65;272
251001;072500;288.62;288.64;288.6;288.61;5539
251001;072600;288.6;288.63;288.6;288.6;297
251001;072700;288.6;288.69;288.6;288.69;757
251001;072800;288.73;288.73;288.69;288.69;424
251001;072900;288.71;288.86;288.69;288.79;21181
251001;073000;288.8;288.87;288.8;288.87;500
251001;073100;288.87;288.88;288.82;288.87;1138
251001;073200;288.87;288.88;288.84;288.88;6638
251001;073300;288.88;288.9;288.87;288.9;13875
251001;073400;288.9;288.93;288.89;288.93;5132
251001;073500;288.92;288.96;288.92;288.95;753
251001;073600;288.95;288.95;288.92;288.95;1301
251001;073700;288.95;288.95;288.92;288.94;978
251001;073800;288.94;288.95;288.94;288.94;117
251001;073900;288.95;288.95;288.94;288.95;2903
251001;074000;288.95;288.95;288.94;288.94;3267
251001;074100;288.93;288.94;288.91;288.92;1904
251001;074200;288.92;288.95;288.91;288.95;1276
251001;074300;288.93;288.95;288.92;288.92;460
251001;074400;288.91;288.92;288.89;288.9;398
251001;074500;288.9;288.93;288.89;288.93;2785
251001;074600;288.93;288.93;288.92;288.92;409
251001;074700;288.93;289.15;288.92;289.15;22062
251001;074800;289.14;289.37;289.1;289.37;15058
251001;074900;289.29;289.48;289.27;289.48;17280
251001;075000;289.46;289.48;289.41;289.44;3352
251001;075100;289.44;289.44;289.42;289.42;4882
251001;075200;289.41;289.5;289.4;289.5;8054
251001;075300;289.5;289.5;289.43;289.45;8599
251001;075400;289.45;289.5;289.43;289.5;2533
251001;075500;289.5;289.5;289.46;289.5;1098
251001;075600;289.5;289.5;289.45;289.5;11783
251001;075700;289.49;289.56;289.46;289.56;71201
251001;075800;289.56;289.6;289.55;289.58;8647
251001;075900;289.6;289.69;289.6;289.69;10971
251001;080000;289.69;289.7;289.67;289.69;17379
251001;080100;289.69;289.73;289.66;289.71;14932
251001;080200;289.69;289.75;289.67;289.68;8269
251001;080300;289.69;289.73;289.68;289.69;737
251001;080400;289.68;289.72;289.61;289.71;12017
251001;080500;289.71;289.71;289.7;289.71;3655
251001;080600;289.71;289.71;289.7;289.7;11775
251001;080700;289.71;289.71;289.7;289.71;6765
251001;080800;289.71;289.71;289.67;289.71;22030
251001;080900;289.71;289.72;289.71;289.72;4568
251001;081000;289.72;289.78;289.56;289.7;41059
251001;081100;289.7;289.72;289.43;289.43;33287
251001;081200;289.43;289.54;289.43;289.52;5670
251001;081300;289.5;289.5;289.38;289.4;22188
251001;081400;289.4;289.43;289.4;289.41;9896
